"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","07/10/2019 11:00","28.5","86.4","30","1011","WSW at 8 MPH (240 deg)","Potential Tropical Cyclone","Two","07/10/2019 10:42","Stewart"
"1A","07/10/2019 14:00","28.3","86.7","30","1011","WSW at 8 MPH (240 deg)","Potential Tropical Cyclone","Two","07/10/2019 13:39","Stewart"
"2","07/10/2019 17:00","28.1","87.4","30","1011","WSW at 8 MPH (245 deg)","Potential Tropical Cyclone","Two","07/10/2019 16:42","Stewart"
"2A","07/10/2019 20:00","27.9","87.8","30","1010","WSW at 8 MPH (245 deg)","Potential Tropical Cyclone","Two","07/10/2019 19:59","Cangialosi"
"3","07/10/2019 23:00","27.7","88.0","30","1009","WSW at 9 MPH (245 deg)","Potential Tropical Cyclone","Two","07/10/2019 22:57","Cangialosi"
"3A","07/11/2019 02:00","27.5","88.0","30","1009","WSW at 9 MPH (245 deg)","Potential Tropical Cyclone","Two","07/11/2019 01:57","Avila"
"4","07/11/2019 05:00","27.5","88.2","30","1009","W at 5 MPH (260 deg)","Potential Tropical Cyclone","Two","07/11/2019 04:51","Avila"
"4A","07/11/2019 08:00","27.6","88.5","35","1005","W at 5 MPH (270 deg)","Potential Tropical Cyclone","Two","07/11/2019 08:03","Beven"
"5","07/11/2019 11:00","27.8","88.7","40","1005","W at 5 MPH (270 deg)","Tropical Storm","Barry","07/11/2019 11:07","Beven"
"5A","07/11/2019 14:00","27.8","89.0","40","1006","W at 5 MPH (270 deg)","Tropical Storm","Barry","07/11/2019 14:03","Beven"
"6","07/11/2019 17:00","27.8","89.3","40","1003","W at 5 MPH (275 deg)","Tropical Storm","Barry","07/11/2019 17:33","Beven"
"6A","07/11/2019 20:00","27.8","89.3","45","1001","W at 3 MPH (275 deg)","Tropical Storm","Barry","07/11/2019 20:06","Brown"
"7...CORREC","07/11/2019 23:00","27.9","89.4","50","1001","W at 3 MPH (275 deg)","Tropical Storm","Barry","07/11/2019 23:12","Brown"
"7A","07/12/2019 02:00","28.0","89.8","50","1001","W at 3 MPH (275 deg)","Tropical Storm","Barry","07/12/2019 02:00","Avila"
"8A","07/12/2019 08:00","28.2","90.3","50","998","WNW at 5 MPH (295 deg)","Tropical Storm","Barry","07/12/2019 07:51","Beven"
